concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
1,1024,64,1,0,2.2247672080993652,2.2247939109802246,26.06339241165973,2.2253434658050537,{}
2,1024,64,2,0,2.701808452606201,2.7018682956695557,34.77260796383624,3.278442621231079,{}
3,1024,64,3,0,2.0665340423583984,2.066558599472046,24.14684615553598,4.721113443374634,{}
4,1024,64,4,0,2.267803192138672,2.2678271532058716,29.468025646137786,6.379796266555786,{}
5,1024,64,5,0,2.2781715393066406,2.2781890869140624,15.82921917952928,14.024696826934814,{}
6,1024,64,6,0,2.442914128303528,2.442937692006429,23.461300210639365,13.724729537963867,{}
7,1024,64,7,0,2.5117359842572893,2.511766331536429,27.07338875310408,14.03592300415039,{}
8,1024,64,8,0,2.779055595397949,2.7790821194648743,17.70285610746587,25.75855541229248,{}
9,1024,64,9,0,2.8637849489847818,2.8638121287027993,19.523315092327298,24.995754957199097,{}
10,1024,64,10,0,2.268036198616028,2.2680632352828978,17.54273114667412,26.10767936706543,{}
1,4096,2048,1,0,5.638237476348877,5.638269424438477,43.27225733824057,5.638716697692871,{}
2,4096,2048,2,0,12.528815746307373,12.528860926628113,50.30467551284365,15.68442678451538,{}
3,4096,2048,3,0,11.120380719502768,11.120404640833536,36.13839534493079,22.386162757873535,{}
4,4096,2048,4,0,8.562163770198822,8.562199056148529,44.15271903495829,22.059796571731567,{}
5,4096,2048,5,0,6.8836219787597654,6.883650302886963,45.39394800006588,20.641518115997314,{}
6,4096,2048,6,0,12.092753767967224,12.09278690814972,36.21916951597694,57.37293338775635,{}
7,4096,2048,7,0,11.112079722540718,11.112105914524623,47.79628133526639,47.827988624572754,{}
8,4096,2048,8,0,9.963311523199081,9.963341861963272,41.499541650538,51.15719151496887,{}
9,4096,2048,8,1,11.89676371216774,11.896795988082886,42.37845909061925,57.97756814956665,"{""429"": 1}"
10,4096,2048,9,1,12.217346164915297,12.217371278338963,38.83742080757179,64.96311926841736,"{""429"": 1}"
1,64,64,1,0,2.0019733905792236,2.0019991397857666,27.96480650159867,2.002516984939575,{}
2,64,64,2,0,2.4923683404922485,2.4923840761184692,38.312936713729364,2.9493954181671143,{}
